,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
0,4.19,0.28,1.34,338.7,2017-03-27 06:52:16,0,4.40795871124,4.19934518705,17.6977462814,7.00877436358
1,2.8,1.38,2.27,338.68,2017-03-27 06:52:16,0,3.85970206104,3.12160215274,36.0242986759,7.00877436358
2,2.86,-0.85,2.82,338.69,2017-03-27 06:52:16,0,4.10542324249,2.98363871808,43.3849228153,7.00877436358
3,4.09,-1.27,0.92,338.77,2017-03-27 06:52:17,1,4.38034245237,4.2826393731,12.1240658391,12.5333495537
4,4.58,-1.45,1.05,338.75,2017-03-27 06:52:17,1,4.91745869327,4.80405037442,12.3290022931,12.5333495537
5,3.99,-1.48,1.49,338.73,2017-03-27 06:52:17,1,4.50894666192,4.25564331212,19.2963410189,12.5333495537
6,3.17,-1.57,1.33,338.77,2017-03-27 06:52:17,1,3.77924595654,3.5374849823,20.604921676,12.5333495537
7,3.42,-2.05,2.02,338.69,2017-03-27 06:52:18,2,4.4698210255,3.98734247338,26.8669142309,13.0952110302
8,3.78,-1.64,1.73,338.7,2017-03-27 06:52:18,2,4.46888129178,4.12043687004,22.775508475,13.0952110302
9,3.8,-1.82,1.67,338.78,2017-03-27 06:52:18,2,4.53225109631,4.21335970456,21.6213086891,13.0952110302
10,3.15,-1.95,1.67,338.75,2017-03-27 06:52:18,2,4.06372981385,3.70472671057,-24.2646845561,13.0952110302
11,3.78,-1.86,1.37,338.76,2017-03-27 06:52:19,3,4.43,4.21283752357,-18.0143438369,13.739208044
12,2.59,-2.74,1.19,338.76,2017-03-27 06:52:19,3,3.95370712117,3.7703713345,17.5166747538,13.739208044
13,3.71,-1.88,1.97,338.71,2017-03-27 06:52:19,3,4.60210821255,4.15914654707,25.3448027188,13.739208044
14,3.67,-2.56,1.99,338.78,2017-03-27 06:52:19,3,4.89720328351,4.47465082437,23.9760273904,13.739208044
15,3.93,-1.95,0.67,338.72,2017-03-27 06:52:20,4,4.4380513742,4.38718588619,-8.68297888899,13.4011413517
16,3.78,-2.36,1.71,338.76,2017-03-27 06:52:20,4,4.77305981525,4.45623159183,20.9934212239,13.4011413517
17,3.22,-2.06,2.14,338.75,2017-03-27 06:52:20,4,4.38082184071,3.82256458415,29.2415668368,13.4011413517
18,2.85,-1.95,2.51,338.69,2017-03-27 06:52:20,4,4.26908655335,3.45325932997,36.0115119287,13.4011413517
19,2.65,-2.62,2.61,338.69,2017-03-27 06:52:21,5,4.54961536836,3.7265131155,35.0068851773,13.4854716244
20,2.21,-2.59,1.82,338.77,2017-03-27 06:52:21,5,3.86064761407,3.4047320012,28.1267385607,13.4854716244
21,3.09,-2.75,0.77,338.74,2017-03-27 06:52:21,5,4.20755273288,4.13649610178,10.5447975665,13.4854716244
22,3.8,-1.97,0.48,338.79,2017-03-27 06:52:21,5,4.30712200895,4.28029204611,-6.398523645,13.4854716244
23,3.14,-2.11,-0.2,338.77,2017-03-27 06:52:22,6,3.78836376289,3.78308075515,-3.02623674137,14.0585082196
24,2.08,-2.23,0.32,338.81,2017-03-27 06:52:22,6,3.06621917025,3.04947536471,5.99047068632,14.0585082196
25,1.19,-2.26,0.6,338.76,2017-03-27 06:52:22,6,2.62368062081,2.55415348012,13.2197452572,14.0585082196
26,0.27,-2.41,2.25,338.79,2017-03-27 06:52:22,6,3.3080961292,2.42507731836,42.8553283014,14.0585082196
27,1.88,-1.9,2.39,338.75,2017-03-27 06:52:23,7,3.58559618474,2.67290104568,41.8017945303,14.1966766906
28,2.33,-1.48,2.28,338.74,2017-03-27 06:52:23,7,3.58018155964,2.76030795383,-39.5565291824,14.1966766906
29,2.02,-0.55,2.66,338.68,2017-03-27 06:52:23,7,3.38504062014,2.0935376758,51.7956892087,14.1966766906
30,2.56,0.26,2.48,338.73,2017-03-27 06:52:23,7,3.57373753933,2.57316925211,43.9437123769,14.1966766906
31,2.24,-0.31,2.4,338.67,2017-03-27 06:52:24,8,3.29752937819,2.26134915482,46.7037485023,13.9866580653
32,2.73,-1.81,3.4,338.73,2017-03-27 06:52:24,8,4.72112274782,3.27551522665,46.0683258588,13.9866580653
33,1.36,-2.2,1.72,338.79,2017-03-27 06:52:24,8,3.10612298533,2.58642610565,33.6243153301,13.9866580653
34,2.94,-2.05,1.83,338.73,2017-03-27 06:52:24,8,4.02430118157,3.58414564436,-27.0480352628,13.9866580653
35,2.32,-1.21,2.2,338.7,2017-03-27 06:52:25,9,3.41855232518,2.6165817396,40.0568415961,13.5324139136
36,3.31,-2.56,0.97,338.75,2017-03-27 06:52:25,9,4.29541616144,4.18445934381,-13.0512266961,13.5324139136
37,3.77,-1.58,0.54,338.75,2017-03-27 06:52:25,9,4.1232147652,4.08770106539,7.52540407007,13.5324139136
38,3.06,-2.13,0.42,338.8,2017-03-27 06:52:25,9,3.75191950873,3.72833743108,6.42731585668,13.5324139136
39,2.8,-2.25,0.72,338.75,2017-03-27 06:52:26,10,3.66345465374,3.59200501113,-11.3344548764,13.1267071797
40,3.03,-2.17,1.26,338.73,2017-03-27 06:52:26,10,3.93413268714,3.72690219888,18.6794897105,13.1267071797
41,2.44,-1.34,1.43,338.74,2017-03-27 06:52:26,10,3.12955268369,2.78373849347,27.1894604447,13.1267071797
42,2.92,-1.65,1.47,338.71,2017-03-27 06:52:26,10,3.66193937689,3.35393798392,23.6673946322,13.1267071797
43,0.79,-2.74,2.55,338.71,2017-03-27 06:52:27,11,3.82546729172,2.85161357831,-41.8040552465,13.1854428176
44,3.06,-1.36,1.26,338.72,2017-03-27 06:52:27,11,3.57782056565,3.34861165261,20.6200812936,13.1854428176
45,1.8,-2.88,3.09,338.65,2017-03-27 06:52:27,11,4.5915683595,3.39623320754,42.2969132742,13.1854428176
46,1.6,-0.21,2.2,338.72,2017-03-27 06:52:27,11,2.72838780235,1.61372240488,-53.7395735705,13.1854428176
47,1.55,-1.34,2.35,338.76,2017-03-27 06:52:28,12,3.11778767718,2.04892654822,-48.9153593169,13.9974780507
48,2.21,-0.5,2.62,338.65,2017-03-27 06:52:28,12,3.46388510202,2.26585524692,-49.1457584701,13.9974780507
49,2.67,0.32,2.16,338.68,2017-03-27 06:52:28,12,3.44918831031,2.68910765869,38.7728386667,13.9974780507
50,3.55,-0.18,1.3,338.71,2017-03-27 06:52:28,12,3.78482496293,3.55456045103,20.0888486619,13.9974780507
51,4.01,-0.57,1.0,338.73,2017-03-27 06:52:29,13,4.171930009,4.05030863022,13.8686703811,13.9626402002
52,4.74,-0.34,0.67,338.72,2017-03-27 06:52:29,13,4.79917701278,4.75217844783,-8.02512128753,13.9626402002
53,4.08,-0.45,1.61,338.71,2017-03-27 06:52:29,13,4.40919493785,4.10474116115,21.4165695361,13.9626402002
54,3.27,0.05,2.13,338.7,2017-03-27 06:52:29,13,3.90285792721,3.27038224066,33.0761987261,13.9626402002
55,3.72,-0.38,1.78,338.66,2017-03-27 06:52:30,14,4.14140072922,3.73935823371,25.4552661801,14.0679169264
56,4.03,-0.43,1.41,338.66,2017-03-27 06:52:30,14,4.29114203913,4.05287552239,19.182843871,14.0679169264
57,3.86,-0.57,1.56,338.69,2017-03-27 06:52:30,14,4.20215420945,3.90185853152,-21.7919981439,14.0679169264
58,3.84,-0.68,1.03,338.7,2017-03-27 06:52:30,14,4.03347244939,3.89974358131,14.7951011721,14.0679169264
59,3.87,-1.03,1.52,338.69,2017-03-27 06:52:31,15,4.28347989373,4.00472221259,20.784353944,13.8169904322
60,3.66,-1.61,1.16,338.73,2017-03-27 06:52:31,15,4.16332799573,3.9984622044,16.1780534747,13.8169904322
61,3.46,-1.13,1.58,338.75,2017-03-27 06:52:31,15,3.96798437497,3.63984889796,23.464891155,13.8169904322
62,3.59,-0.68,1.32,338.75,2017-03-27 06:52:31,15,3.88495817223,3.65383360322,-19.8629835645,13.8169904322
63,3.48,-0.76,1.35,338.73,2017-03-27 06:52:32,16,3.80926502097,3.56202189774,20.7566195795,13.9342244606
64,2.43,-0.28,1.93,338.75,2017-03-27 06:52:32,16,3.11579845305,2.44607849424,38.2740761059,13.9342244606
65,3.06,0.79,1.6,338.71,2017-03-27 06:52:32,16,3.54227328138,3.16033226101,26.851993645,13.9342244606
66,3.45,0.19,1.32,338.75,2017-03-27 06:52:32,16,3.69878358383,3.45522792302,20.9083463978,13.9342244606
67,3.59,0.43,0.69,338.81,2017-03-27 06:52:33,17,3.68091021352,3.61566038228,10.8042184089,13.8413301845
68,3.29,-0.45,0.39,338.82,2017-03-27 06:52:33,17,3.34345629551,3.32063246988,-6.69855906854,13.8413301845
69,2.81,-0.74,0.27,338.82,2017-03-27 06:52:33,17,2.91832143535,2.90580453575,5.30853641629,13.8413301845
70,2.52,-0.88,0.01,338.81,2017-03-27 06:52:33,17,2.66925083123,2.66923209931,0.214651665068,13.8413301845
71,2.67,-1.37,0.2,338.82,2017-03-27 06:52:34,18,3.00762364667,3.00096651098,-3.81285007226,13.6099399338
72,3.49,-1.0,0.28,338.78,2017-03-27 06:52:34,18,3.64122232224,3.63044074459,4.41024188085,13.6099399338
73,3.68,-0.97,0.72,338.75,2017-03-27 06:52:34,18,3.87320280905,3.80569310376,-10.7131812704,13.6099399338
74,3.65,-1.77,0.9,338.76,2017-03-27 06:52:34,18,4.15516546,4.05652560697,12.5092878911,13.6099399338
75,4.59,-0.83,-0.21,338.78,2017-03-27 06:52:35,19,4.66916480754,4.66443994495,-2.57780018163,13.4186518461
76,4.79,-0.77,0.09,338.79,2017-03-27 06:52:35,19,4.85232933755,4.85149461506,1.06277119857,13.4186518461
77,4.5,-0.83,0.33,338.8,2017-03-27 06:52:35,19,4.58778813809,4.57590428222,-4.12485258931,13.4186518461
78,3.56,-1.46,0.19,338.84,2017-03-27 06:52:35,19,3.85244078475,3.8477525908,2.8269392889,13.4186518461
79,3.6,-1.93,0.14,338.85,2017-03-27 06:52:36,20,4.08711389614,4.08471541236,1.96299364293,13.3487487125
80,3.41,-1.68,0.39,338.81,2017-03-27 06:52:36,20,3.82133484531,3.80138132789,-5.85772491403,13.3487487125
81,3.34,-1.79,-0.27,338.79,2017-03-27 06:52:36,20,3.79902619101,3.78941948061,-4.07549529604,13.3487487125
82,3.16,-1.44,-0.3,338.81,2017-03-27 06:52:36,20,3.48557025464,3.47263588647,-4.93750683861,13.3487487125
83,3.24,-1.92,0.53,338.82,2017-03-27 06:52:37,21,3.80327490461,3.76616515835,8.01044284533,13.7955166608
84,3.86,-1.87,1.22,338.81,2017-03-27 06:52:37,21,4.45924881566,4.28911412765,-15.8779263888,13.7955166608
85,4.45,-1.69,1.16,338.81,2017-03-27 06:52:37,21,4.89940812752,4.76010504086,-13.69558566,13.7955166608
86,4.36,-1.89,0.64,338.75,2017-03-27 06:52:37,21,4.79492439982,4.75202062285,7.67041521236,13.7955166608
87,4.01,-1.92,0.71,338.76,2017-03-27 06:52:38,22,4.50228830707,4.44595321613,9.07328109442,14.5639351693
88,3.8,-1.93,0.86,338.79,2017-03-27 06:52:38,22,4.34793054222,4.26203003274,-11.4080606657,14.5639351693
89,4.28,-1.32,1.21,338.79,2017-03-27 06:52:38,22,4.63949350684,4.47892844328,15.1177936405,14.5639351693
90,4.0,-1.93,0.61,338.76,2017-03-27 06:52:38,22,4.482967767,4.44127234022,7.82053057803,14.5639351693
91,3.3,-2.6,0.51,338.73,2017-03-27 06:52:39,23,4.23203260857,4.20119030752,6.92150635119,14.6087804873
92,3.34,-2.01,0.72,338.77,2017-03-27 06:52:39,23,3.96410141142,3.89816623555,10.4647209381,14.6087804873
93,4.02,-1.66,1.17,338.78,2017-03-27 06:52:39,23,4.50387610842,4.34925280939,15.0567854253,14.6087804873
94,3.69,-0.51,2.04,338.71,2017-03-27 06:52:39,23,4.24709312354,3.72507718041,28.7068610716,14.6087804873
95,3.82,-1.07,2.05,338.7,2017-03-27 06:52:40,24,4.465400318,3.96702659431,27.3281044532,14.5718661991
96,3.08,-1.92,1.56,338.74,2017-03-27 06:52:40,24,3.95049364004,3.62943521777,-23.258949113,14.5718661991
97,2.95,-1.73,1.33,338.75,2017-03-27 06:52:40,24,3.66937324348,3.41985379804,-21.2513329301,14.5718661991
98,2.9,-2.13,1.28,338.75,2017-03-27 06:52:40,24,3.81907056756,3.59818009555,-19.5822726661,14.5718661991
