,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta
0,4.19,0.28,1.34,338.7,2017-03-15 06:52:16,0,4.4079587112403855,4.1993451870500005,17.69774628135508
1,2.8,1.38,2.27,338.68,2017-03-15 06:52:16,0,3.859702061040463,3.121602152741441,36.02429867590425
2,2.86,-0.85,2.82,338.69,2017-03-15 06:52:16,0,4.105423242492788,2.983638718075632,43.384922815328466
3,4.09,-1.27,0.92,338.77,2017-03-15 06:52:17,1,4.380342452366024,4.282639373096922,12.124065839113829
4,4.58,-1.45,1.05,338.75,2017-03-15 06:52:17,1,4.917458693268302,4.804050374423649,12.329002293127216
5,3.99,-1.48,1.49,338.73,2017-03-15 06:52:17,1,4.508946661915619,4.255643312120977,19.296341018872265
6,3.17,-1.57,1.33,338.77,2017-03-15 06:52:17,1,3.779245956536833,3.537484982300278,20.604921676019437
7,3.42,-2.05,2.02,338.69,2017-03-15 06:52:18,2,4.46982102549979,3.9873424733774745,26.866914230907376
8,3.78,-1.64,1.73,338.7,2017-03-15 06:52:18,2,4.468881291777619,4.120436870041816,22.775508474989596
9,3.8,-1.82,1.67,338.78,2017-03-15 06:52:18,2,4.532251096309647,4.213359704558822,21.62130868912535
10,3.15,-1.95,1.67,338.75,2017-03-15 06:52:18,2,4.0637298138532785,3.704726710568541,-24.264684556125665
11,3.78,-1.86,1.37,338.76,2017-03-15 06:52:19,3,4.43,4.21283752357007,-18.014343836890703
12,2.59,-2.74,1.19,338.76,2017-03-15 06:52:19,3,3.9537071211712176,3.770371334497439,17.516674753832024
13,3.71,-1.88,1.97,338.71,2017-03-15 06:52:19,3,4.60210821254781,4.159146547069482,25.344802718795247
14,3.67,-2.56,1.99,338.78,2017-03-15 06:52:19,3,4.897203283507843,4.474650824366075,23.976027390439537
15,3.93,-1.95,0.67,338.72,2017-03-15 06:52:20,4,4.438051374195662,4.387185886191739,-8.68297888898992
16,3.78,-2.36,1.71,338.76,2017-03-15 06:52:20,4,4.773059815254781,4.456231591827336,20.993421223869625
17,3.22,-2.06,2.14,338.75,2017-03-15 06:52:20,4,4.380821840705234,3.82256458415028,29.24156683680877
18,2.85,-1.95,2.51,338.69,2017-03-15 06:52:20,4,4.269086553350728,3.4532593299664014,36.011511928695846
19,2.65,-2.62,2.61,338.69,2017-03-15 06:52:21,5,4.549615368358077,3.72651311550087,35.006885177308604
20,2.21,-2.59,1.82,338.77,2017-03-15 06:52:21,5,3.860647614066842,3.4047320012006814,28.1267385607203
21,3.09,-2.75,0.77,338.74,2017-03-15 06:52:21,5,4.207552732884046,4.136496101775028,10.54479756653821
22,3.8,-1.97,0.48,338.79,2017-03-15 06:52:21,5,4.307122008952149,4.280292046110873,-6.398523644998813
23,3.14,-2.11,-0.2,338.77,2017-03-15 06:52:22,6,3.788363762892893,3.7830807551518113,-3.0262367413703957
24,2.08,-2.23,0.32,338.81,2017-03-15 06:52:22,6,3.066219170248598,3.049475364714396,5.990470686322423
25,1.19,-2.26,0.6,338.76,2017-03-15 06:52:22,6,2.6236806208073418,2.554153480118217,13.219745257234056
26,0.27,-2.41,2.25,338.79,2017-03-15 06:52:22,6,3.3080961291957647,2.4250773183550254,42.85532830136112
27,1.88,-1.9,2.39,338.75,2017-03-15 06:52:23,7,3.585596184736926,2.6729010456805167,41.80179453033659
28,2.33,-1.48,2.28,338.74,2017-03-15 06:52:23,7,3.580181559641913,2.760307953834137,-39.55652918236087
29,2.02,-0.55,2.66,338.68,2017-03-15 06:52:23,7,3.385040620140326,2.0935376758014175,51.79568920867985
30,2.56,0.26,2.48,338.73,2017-03-15 06:52:23,7,3.5737375393276998,2.573169252109157,43.94371237687629
31,2.24,-0.31,2.4,338.67,2017-03-15 06:52:24,8,3.297529378186038,2.2613491548188662,46.70374850232014
32,2.73,-1.81,3.4,338.73,2017-03-15 06:52:24,8,4.721122747821751,3.2755152266475576,46.06832585876701
33,1.36,-2.2,1.72,338.79,2017-03-15 06:52:24,8,3.106122985330748,2.586426105652354,33.62431533007326
34,2.94,-2.05,1.83,338.73,2017-03-15 06:52:24,8,4.024301181571777,3.5841456443621262,-27.048035262778686
35,2.32,-1.21,2.2,338.7,2017-03-15 06:52:25,9,3.418552325180938,2.6165817395984403,40.056841596057275
36,3.31,-2.56,0.97,338.75,2017-03-15 06:52:25,9,4.295416161444662,4.184459343810142,-13.051226696052051
37,3.77,-1.58,0.54,338.75,2017-03-15 06:52:25,9,4.123214765204452,4.0877010653911565,7.525404070074893
38,3.06,-2.13,0.42,338.8,2017-03-15 06:52:25,9,3.751919508731497,3.728337431081044,6.427315856676778
39,2.8,-2.25,0.72,338.75,2017-03-15 06:52:26,10,3.663454653738736,3.592005011132362,-11.33445487642784
40,3.03,-2.17,1.26,338.73,2017-03-15 06:52:26,10,3.9341326871370264,3.7269021988777755,18.67948971046343
41,2.44,-1.34,1.43,338.74,2017-03-15 06:52:26,10,3.129552683691393,2.7837384934652176,27.18946044470948
42,2.92,-1.65,1.47,338.71,2017-03-15 06:52:26,10,3.6619393768876076,3.3539379839227794,23.667394632206392
43,0.79,-2.74,2.55,338.71,2017-03-15 06:52:27,11,3.8254672917174446,2.851613578309656,-41.80405524653281
44,3.06,-1.36,1.26,338.72,2017-03-15 06:52:27,11,3.577820565651665,3.3486116526106757,20.620081293572493
45,1.8,-2.88,3.09,338.65,2017-03-15 06:52:27,11,4.5915683595041905,3.3962332075403774,42.296913274196356
46,1.6,-0.21,2.2,338.72,2017-03-15 06:52:27,11,2.7283878023477532,1.6137224048763779,-53.73957357048012
47,1.55,-1.34,2.35,338.76,2017-03-15 06:52:28,12,3.1177876771839355,2.0489265482198236,-48.9153593169213
48,2.21,-0.5,2.62,338.65,2017-03-15 06:52:28,12,3.463885102020562,2.265855246921127,-49.14575847008531
49,2.67,0.32,2.16,338.68,2017-03-15 06:52:28,12,3.4491883103130223,2.689107658685312,38.772838666744846
50,3.55,-0.18,1.3,338.71,2017-03-15 06:52:28,12,3.784824962927612,3.554560451026259,20.088848661935913
51,4.01,-0.57,1.0,338.73,2017-03-15 06:52:29,13,4.17193000900063,4.050308630215727,13.868670381112949
52,4.74,-0.34,0.67,338.72,2017-03-15 06:52:29,13,4.7991770127804205,4.752178447827902,-8.025121287527568
53,4.08,-0.45,1.61,338.71,2017-03-15 06:52:29,13,4.409194937854302,4.104741161145244,21.416569536127575
54,3.27,0.05,2.13,338.7,2017-03-15 06:52:29,13,3.9028579272118016,3.2703822406562812,33.07619872613401
55,3.72,-0.38,1.78,338.66,2017-03-15 06:52:30,14,4.141400729221939,3.739358233708025,25.45526618014755
56,4.03,-0.43,1.41,338.66,2017-03-15 06:52:30,14,4.291142039131308,4.052875522391479,19.182843871046945
57,3.86,-0.57,1.56,338.69,2017-03-15 06:52:30,14,4.202154209450195,3.901858531520588,-21.79199814390504
58,3.84,-0.68,1.03,338.7,2017-03-15 06:52:30,14,4.033472449391467,3.899743581314033,14.79510117210866
59,3.87,-1.03,1.52,338.69,2017-03-15 06:52:31,15,4.283479893731264,4.004722212588534,20.784353944023447
60,3.66,-1.61,1.16,338.73,2017-03-15 06:52:31,15,4.163327995726496,3.998462204398086,16.17805347471818
61,3.46,-1.13,1.58,338.75,2017-03-15 06:52:31,15,3.967984374969236,3.6398488979626613,23.46489115499742
62,3.59,-0.68,1.32,338.75,2017-03-15 06:52:31,15,3.8849581722330035,3.6538336032173113,-19.86298356448517
63,3.48,-0.76,1.35,338.73,2017-03-15 06:52:32,16,3.8092650209718935,3.56202189774291,20.756619579458548
64,2.43,-0.28,1.93,338.75,2017-03-15 06:52:32,16,3.115798453045383,2.446078494243388,38.27407610591538
65,3.06,0.79,1.6,338.71,2017-03-15 06:52:32,16,3.5422732813830162,3.160332261013073,26.85199364498959
66,3.45,0.19,1.32,338.75,2017-03-15 06:52:32,16,3.698783583828608,3.4552279230175253,20.908346397808327
67,3.59,0.43,0.69,338.81,2017-03-15 06:52:33,17,3.680910213520564,3.6156603822815,10.804218408944598
68,3.29,-0.45,0.39,338.82,2017-03-15 06:52:33,17,3.343456295512176,3.3206324698767853,-6.698559068541696
69,2.81,-0.74,0.27,338.82,2017-03-15 06:52:33,17,2.918321435346011,2.905804535752534,5.308536416289087
70,2.52,-0.88,0.01,338.81,2017-03-15 06:52:33,17,2.6692508312258703,2.6692320993124596,0.2146516650683631
71,2.67,-1.37,0.2,338.82,2017-03-15 06:52:34,18,3.007623646668579,3.000966510976089,-3.8128500722640233
72,3.49,-1.0,0.28,338.78,2017-03-15 06:52:34,18,3.6412223222429034,3.6304407445928657,4.4102418808459065
73,3.68,-0.97,0.72,338.75,2017-03-15 06:52:34,18,3.873202809045764,3.805693103759156,-10.713181270434838
74,3.65,-1.77,0.9,338.76,2017-03-15 06:52:34,18,4.155165460002766,4.05652560696959,12.509287891128915
75,4.59,-0.83,-0.21,338.78,2017-03-15 06:52:35,19,4.669164807543208,4.664439944945159,-2.5778001816256007
76,4.79,-0.77,0.09,338.79,2017-03-15 06:52:35,19,4.85232933754501,4.851494615064516,1.0627711985670087
77,4.5,-0.83,0.33,338.8,2017-03-15 06:52:35,19,4.587788138090075,4.575904282215702,-4.124852589314484
78,3.56,-1.46,0.19,338.84,2017-03-15 06:52:35,19,3.8524407847493256,3.8477525907989456,2.8269392888966887
79,3.6,-1.93,0.14,338.85,2017-03-15 06:52:36,20,4.08711389613747,4.08471541236351,1.9629936429280697
80,3.41,-1.68,0.39,338.81,2017-03-15 06:52:36,20,3.8213348453125646,3.801381327885957,-5.8577249140265195
81,3.34,-1.79,-0.27,338.79,2017-03-15 06:52:36,20,3.799026191012639,3.789419480606495,-4.0754952960372455
82,3.16,-1.44,-0.3,338.81,2017-03-15 06:52:36,20,3.485570254635531,3.4726358864701035,-4.937506838608971
83,3.24,-1.92,0.53,338.82,2017-03-15 06:52:37,21,3.803274904605241,3.766165158354052,8.010442845328896
84,3.86,-1.87,1.22,338.81,2017-03-15 06:52:37,21,4.459248815663911,4.289114127649205,-15.87792638875875
85,4.45,-1.69,1.16,338.81,2017-03-15 06:52:37,21,4.899408127519079,4.760105040857817,-13.69558566001908
86,4.36,-1.89,0.64,338.75,2017-03-15 06:52:37,21,4.794924399821128,4.752020622850873,7.670415212361336
87,4.01,-1.92,0.71,338.76,2017-03-15 06:52:38,22,4.5022883070723045,4.445953216128123,9.073281094423079
88,3.8,-1.93,0.86,338.79,2017-03-15 06:52:38,22,4.347930542223507,4.262030032742613,-11.408060665708245
89,4.28,-1.32,1.21,338.79,2017-03-15 06:52:38,22,4.639493506838866,4.478928443277477,15.117793640476433
90,4.0,-1.93,0.61,338.76,2017-03-15 06:52:38,22,4.482967767004354,4.441272340219635,7.820530578025325
91,3.3,-2.6,0.51,338.73,2017-03-15 06:52:39,23,4.232032608570024,4.201190307520001,6.921506351186631
92,3.34,-2.01,0.72,338.77,2017-03-15 06:52:39,23,3.96410141141722,3.898166235552301,10.464720938145884
93,4.02,-1.66,1.17,338.78,2017-03-15 06:52:39,23,4.50387610842039,4.349252809391516,15.056785425254835
94,3.69,-0.51,2.04,338.71,2017-03-15 06:52:39,23,4.247093123537557,3.725077180408481,28.706861071621297
95,3.82,-1.07,2.05,338.7,2017-03-15 06:52:40,24,4.465400318000616,3.9670265943146887,27.328104453192015
96,3.08,-1.92,1.56,338.74,2017-03-15 06:52:40,24,3.9504936400404445,3.6294352177714924,-23.25894911298324
97,2.95,-1.73,1.33,338.75,2017-03-15 06:52:40,24,3.6693732434845057,3.419853798044589,-21.25133293005525
98,2.9,-2.13,1.28,338.75,2017-03-15 06:52:40,24,3.8190705675595993,3.5981800955483036,-19.58227266611565
99,2.91,-2.35,1.09,338.77,2017-03-15 06:52:41,25,3.8959851129079026,3.7404010480161083,16.24678818771171
100,3.21,-1.38,0.45,338.84,2017-03-15 06:52:41,25,3.522924921141522,3.4940663989111598,7.338712799622965
101,2.63,-1.6,1.35,338.77,2017-03-15 06:52:41,25,3.3614580169920316,3.0784574059096546,-23.67895619211292
102,3.03,-1.75,1.37,338.75,2017-03-15 06:52:41,25,3.7576987638713137,3.4990570158258354,21.38203524395181
103,3.31,-2.25,0.87,338.79,2017-03-15 06:52:42,26,4.095790521987178,4.002324324689342,12.263809943190447
104,2.52,-1.84,1.36,338.8,2017-03-15 06:52:42,26,3.4037626239207692,3.120256399721023,-23.550539064285815
105,2.36,-1.42,1.21,338.73,2017-03-15 06:52:42,26,3.008338411814735,2.7542694131112153,-23.71674629408263
106,2.15,-1.47,0.77,338.84,2017-03-15 06:52:42,26,2.715934461654036,2.604496112494699,-16.469923939315855
107,1.86,-1.79,0.77,338.72,2017-03-15 06:52:43,27,2.693807713998904,2.5814143410154053,16.60911041674732
108,1.93,-1.6,1.02,338.73,2017-03-15 06:52:43,27,2.706529142647461,2.5069702830308938,-22.139717226733865
109,2.2,-1.3,1.73,338.72,2017-03-15 06:52:43,27,3.0859196360242436,2.5553864678361276,-34.09805194565698
110,2.57,-1.21,1.44,338.75,2017-03-15 06:52:43,27,3.1847448877421876,2.8405985284795174,-26.8820645906566
111,2.95,-1.76,1.21,338.7,2017-03-15 06:52:44,28,3.642004942336021,3.435127362995439,19.404461939109687
112,2.54,-1.33,1.3,338.83,2017-03-15 06:52:44,28,3.1480946618550085,2.8671414335536363,-24.390170682435063
